total_loss,sppo_loss,ce_loss,policy_full_acc,ref_full_acc,policy_critical_acc,ref_critical_acc,policy_full_margin,ref_full_margin,full_margin_improve,policy_critical_margin,ref_critical_margin,critical_margin_improve,policy_full_pearson,ref_full_pearson,policy_critical_pearson,ref_critical_pearson,epoch
0.712419,0.399156,1.566312,0.685217,0.608309,0.731208,0.607923,0.016792,0.004931,0.011861,1.062521,0.309664,0.752857,0.077339,0.061922,0.1008,0.052473,36
0.711881,0.396818,1.575313,0.681932,0.6,0.727729,0.594396,0.016143,0.004283,0.01186,1.051611,0.282055,0.769556,0.07432,0.055874,0.104947,0.051355,37
0.71816,0.40043,1.588651,0.678647,0.613913,0.739324,0.605024,0.015989,0.005143,0.010845,1.082957,0.334398,0.748559,0.090135,0.0602,0.132108,0.057619,38
0.717181,0.401475,1.578528,0.687536,0.611208,0.730435,0.60657,0.016428,0.00491,0.011518,1.063369,0.315759,0.74761,0.048627,0.025215,0.069136,0.013982,39
0.720451,0.401551,1.594503,0.677874,0.612947,0.73314,0.609855,0.015516,0.004664,0.010852,1.055787,0.309255,0.746532,0.055993,0.06796,0.09853,0.065868,40
0.721369,0.402396,1.594867,0.680966,0.612174,0.735072,0.603092,0.015971,0.005144,0.010826,1.032829,0.30076,0.732069,0.055181,0.057988,0.086825,0.04227,41
0.724385,0.400915,1.617349,0.670918,0.586087,0.721739,0.583382,0.015664,0.004186,0.011478,1.020362,0.270472,0.74989,0.086214,0.046419,0.10569,0.040421,42
0.712643,0.401773,1.554346,0.681739,0.602705,0.734879,0.595556,0.015786,0.004359,0.011426,1.036512,0.287273,0.74924,0.102956,0.075735,0.125409,0.060347,43
0.715042,0.399013,1.580144,0.673237,0.593816,0.731594,0.590531,0.015806,0.004475,0.01133,1.059414,0.282429,0.776985,0.06355,0.058759,0.099888,0.051286,44
0.71556,0.400146,1.577066,0.67942,0.605411,0.729855,0.587053,0.015632,0.004514,0.011118,1.028229,0.271684,0.756545,0.094841,0.068767,0.104942,0.054774,45
0.706584,0.396344,1.551202,0.691401,0.607536,0.738357,0.601739,0.016287,0.004719,0.011567,1.092664,0.314559,0.778105,0.108618,0.066005,0.121046,0.056431,46
0.710413,0.396362,1.570255,0.678068,0.602319,0.729855,0.591691,0.016072,0.004581,0.011491,1.07402,0.29125,0.78277,0.060943,0.0466,0.094372,0.049046,47
0.710511,0.394741,1.578852,0.700097,0.625507,0.751691,0.627633,0.017562,0.005546,0.012016,1.151724,0.36611,0.785614,0.096776,0.07302,0.113147,0.06312,48
0.712275,0.396625,1.57825,0.682899,0.606377,0.730048,0.594589,0.016317,0.004679,0.011638,1.078092,0.29297,0.785122,0.073554,0.045814,0.106898,0.043555,49
0.712198,0.391833,1.601828,0.68599,0.615459,0.739324,0.602512,0.016516,0.004924,0.011592,1.117448,0.313719,0.803728,0.072632,0.057164,0.077232,0.037892,50
