epoch,step,global_step,split,pair_id,neg_source,pos_sequence_id,neg_sequence_id,pos_target,neg_target,target_gap,policy_full_margin,ref_full_margin,policy_critical_margin,ref_critical_margin,policy_full_correct,ref_full_correct,policy_critical_correct,ref_critical_correct
1,1,0,train,random_pos_0__vs__random_real_neg_0,random_real_negative,random_pos_0,random_real_neg_0,1.2010545767870069,0.0,1.2010545767870069,0.052024006843566895,0.007953643798828125,0.13683819770812988,-0.009203195571899414,1.0,1.0,1.0,0.0
1,1,0,train,3716__vs__4766,on_the_fly,3716,4766,-0.0472281187847469,-1.3699424143590215,1.3227142955742746,0.04562187194824219,0.001846909523010254,0.18384933471679688,0.15046405792236328,1.0,1.0,1.0,1.0
1,1,0,train,3716__vs__3572,on_the_fly,3716,3572,-0.0472281187847469,-1.8430004352236389,1.795772316438892,0.018476366996765137,0.004844784736633301,0.4836130142211914,0.3690524101257324,1.0,1.0,1.0,1.0
1,1,0,train,3315__vs__3263,on_the_fly,3315,3263,0.7753009288721485,-0.8492256187478853,1.6245265476200337,-0.007526397705078125,0.032721757888793945,1.819690227508545,1.986519455909729,0.0,1.0,1.0,1.0
1,1,0,train,1479__vs__3572,on_the_fly,1479,3572,0.3283041344470455,-1.8430004352236389,2.1713045696706845,0.018146395683288574,0.008364081382751465,0.4149031639099121,0.43396711349487305,1.0,1.0,1.0,1.0
1,1,0,train,2055__vs__3997,on_the_fly,2055,3997,-0.4078284024208786,-1.8428025281915392,1.4349741257706605,0.026011347770690918,0.00914907455444336,0.555630087852478,0.7760730981826782,1.0,1.0,1.0,1.0
1,1,0,train,3716__vs__4162,on_the_fly,3716,4162,-0.0472281187847469,-1.3081656093874958,1.2609374906027488,-0.03607177734375,-0.019753694534301758,-0.8504126071929932,-0.7326898574829102,0.0,0.0,0.0,0.0
1,1,0,train,3263__vs__5233,on_the_fly,3263,5233,-0.8492256187478853,-2.061727674822309,1.2125020560744237,0.03719067573547363,-0.004134654998779297,-0.11827754974365234,-0.18271803855895996,1.0,0.0,0.0,0.0
1,1,0,train,1685__vs__3572,on_the_fly,1685,3572,0.7263609186338124,-1.8430004352236389,2.569361353857451,0.02260148525238037,0.009050607681274414,0.4167745113372803,0.3945200443267822,1.0,1.0,1.0,1.0
1,1,0,train,random_pos_2__vs__random_real_neg_2,random_real_negative,random_pos_2,random_real_neg_2,0.8227729176981561,0.0,0.8227729176981561,-0.014980912208557129,-0.03415954113006592,-1.7329928874969482,-1.8635916709899902,0.0,0.0,0.0,0.0
1,1,0,train,3315__vs__5936,on_the_fly,3315,5936,0.7753009288721485,-0.5384079904969908,1.3137089193691394,0.015461087226867676,0.011021614074707031,1.1377161741256714,1.2130162715911865,1.0,1.0,1.0,1.0
1,1,0,train,1685__vs__4162,on_the_fly,1685,4162,0.7263609186338124,-1.3081656093874958,2.034526528021308,0.008589863777160645,-0.015547871589660645,-1.0801825523376465,-0.9894695281982422,1.0,0.0,0.0,0.0
1,1,0,train,1479__vs__6367,on_the_fly,1479,6367,0.3283041344470455,-2.274493130858961,2.6027972653060067,-0.0039708614349365234,-0.0029845237731933594,-0.6999156475067139,-0.6580636501312256,0.0,0.0,0.0,0.0
1,1,0,train,3716__vs__5233,on_the_fly,3716,5233,-0.0472281187847469,-2.061727674822309,2.014499556037562,-8.976459503173828e-05,-0.002874612808227539,-0.11905169486999512,-0.10771894454956055,0.0,0.0,0.0,0.0
1,1,0,train,random_pos_1__vs__random_real_neg_1,random_real_negative,random_pos_1,random_real_neg_1,1.5087243757316438,0.0,1.5087243757316438,0.022976040840148926,0.028516054153442383,0.8255339860916138,0.7670437097549438,1.0,1.0,1.0,1.0
1,2,1,train,1307__vs__5138,on_the_fly,1307,5138,-0.0165033614480968,-1.5802037628096053,1.5637004013615086,0.024932503700256348,0.02242112159729004,0.4892754554748535,0.6503331661224365,1.0,1.0,1.0,1.0
1,2,1,train,4731__vs__3180,on_the_fly,4731,3180,-0.4096832621170118,-1.979784647480877,1.570101385363865,0.006898999214172363,0.011571407318115234,0.08393454551696777,0.10633969306945801,1.0,1.0,1.0,1.0
1,2,1,train,966__vs__2742,on_the_fly,966,2742,-1.833552455740842,-3.0273851434358243,1.1938326876949823,0.020018458366394043,0.01096487045288086,0.7173159122467041,0.7299277782440186,1.0,1.0,1.0,1.0
1,2,1,train,2917__vs__2742,on_the_fly,2917,2742,0.6344771781529404,-3.0273851434358243,3.6618623215887647,0.01621115207672119,0.009706616401672363,0.6657059192657471,0.5857446193695068,1.0,1.0,1.0,1.0
1,2,1,train,8482__vs__8215,on_the_fly,8482,8215,2.19324053434157,0.1191932422886873,2.0740472920528825,-0.005668163299560547,-0.006215810775756836,-0.5662477016448975,-0.4833695888519287,0.0,0.0,0.0,0.0
1,2,1,train,8482__vs__2337,on_the_fly,8482,2337,2.19324053434157,-1.6611537052480518,3.854394239589622,-0.02057337760925293,0.003666996955871582,-0.1803731918334961,-0.30187416076660156,0.0,1.0,0.0,0.0
1,2,1,train,8482__vs__5138,on_the_fly,8482,5138,2.19324053434157,-1.5802037628096053,3.7734442971511752,0.011088371276855469,0.041039109230041504,1.0837936401367188,1.3154094219207764,1.0,1.0,1.0,1.0
1,2,1,train,8215__vs__966,on_the_fly,8215,966,0.1191932422886873,-1.833552455740842,1.9527456980295292,-0.01722097396850586,0.01116478443145752,0.6297011375427246,0.8088338375091553,0.0,1.0,1.0,1.0
1,2,1,train,8482__vs__7110,on_the_fly,8482,7110,2.19324053434157,-0.0725064572958432,2.265746991637413,-0.01868748664855957,0.015761613845825195,1.0713798999786377,0.9386212825775146,0.0,1.0,1.0,1.0
1,2,1,train,random_pos_0__vs__random_real_neg_0,random_real_negative,random_pos_0,random_real_neg_0,0.6886424897406016,0.0,0.6886424897406016,0.004351615905761719,-0.02445840835571289,-0.46750783920288086,-0.5578014850616455,1.0,0.0,0.0,0.0
1,2,1,train,7110__vs__5138,on_the_fly,7110,5138,-0.0725064572958432,-1.5802037628096053,1.5076973055137621,0.04939305782318115,0.02527749538421631,0.31584835052490234,0.32653212547302246,1.0,1.0,1.0,1.0
1,2,1,train,7110__vs__2337,on_the_fly,7110,2337,-0.0725064572958432,-1.6611537052480518,1.5886472479522087,-0.010875582695007324,-0.012094616889953613,-1.3318414688110352,-1.4085068702697754,0.0,0.0,0.0,0.0
1,2,1,train,random_pos_1__vs__random_real_neg_1,random_real_negative,random_pos_1,random_real_neg_1,0.570986683222453,0.0,0.570986683222453,0.020817160606384277,0.007646083831787109,0.24951744079589844,0.12694549560546875,1.0,1.0,1.0,1.0
1,2,1,train,random_pos_2__vs__random_real_neg_2,random_real_negative,random_pos_2,random_real_neg_2,1.223437580458414,0.0,1.223437580458414,-0.053261399269104004,-0.020445942878723145,-0.850562572479248,-1.0156505107879639,0.0,0.0,0.0,0.0
1,2,1,train,8215__vs__3180,on_the_fly,8215,3180,0.1191932422886873,-1.979784647480877,2.0989778897695643,-0.02515852451324463,0.007902264595031738,0.41829466819763184,0.4783766269683838,0.0,1.0,1.0,1.0
1,3,2,train,3460__vs__7821,on_the_fly,3460,7821,-0.3476924145744796,-1.878339998183948,1.5306475836094684,0.02223682403564453,0.0021865367889404297,-0.022387027740478516,-0.24351811408996582,1.0,1.0,0.0,0.0
1,3,2,train,6195__vs__7235,on_the_fly,6195,7235,-1.1080370593345352,-2.372247166625834,1.2642101072912986,0.042879581451416016,0.0059604644775390625,0.2481834888458252,0.37297916412353516,1.0,1.0,1.0,1.0
1,3,2,train,7692__vs__1213,on_the_fly,7692,1213,0.0528864434955197,-2.289965509950271,2.342851953445791,0.06368803977966309,0.027939438819885254,0.8379818201065063,0.8495314121246338,1.0,1.0,1.0,1.0
1,3,2,train,4548__vs__1213,on_the_fly,4548,1213,-0.2821506408859527,-2.289965509950271,2.007814869064318,0.03060328960418701,0.036362409591674805,1.3692141771316528,1.386165976524353,1.0,1.0,1.0,1.0
